"販売店ASAコード","販売店名","契約状況","店コード","区域","順路","枝番","読者No","氏名１","氏名２","フリガナ１","フリガナ２","郵便番号","住所１","住所２","住所３","住所４（建物名）","住所５（部屋番号）","住所６（通称）","住所７（方書）","電話番号１","電話番号２","メールアドレス１","メールアドレス２","生年月日","性別","職業","支払い方法","銘柄コード","本社銘柄コード","銘柄","現区分","契約開始","現入り日","契約日","契約終了","契約期間（開始）","契約期間（終了）","現入コード","現入理由","現契約区分","販促品名１","販促品名２","販促品名３"
"1935200",,"現",,"1","104","0","8809","●●●●●",,"●●●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20140501","20140501","20140501",,"20140501",,"11","銘柄変更","固定継続",,,
"1935200",,"現",,"1","110","0","8812","●●●●●",,"●●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20200701","20200701","20200408",,"20200701","20210630","6","固継","固定継続",,,
"1935200",,"現",,"1","106","0","8820","●●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20020101","20020101","20020101",,"20020101",,"4","１継","一継",,,
"1935200",,"現",,"1","108","0","8823","●●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20130901","20130901","20130901",,"20130901",,"11","銘柄変更","固定継続",,,
"1935200",,"現",,"1","113","0","8827","●●●●●",,"●●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-13",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20200701","20200701","20200409",,"20200701","20210630","6","固継","固定継続",,,
"1935200",,"現",,"1","154","0","8829","●●●●●",,"●●●●●●●●",,"4640092","名古屋市千種区","茶屋ヶ坂","1-13-10",,,,,"●●●●●●●●●●",,,,,,,"自振","000100","1","セット","現読","20010801","20010801","20010801",,"20010801",,"1","新規","新勧",,,
"1935200",,"現",,"1","115","0","8833","●●●●●●",,"●●●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-12▲7,8,9月分▲",,,,,"●●●●●●●●●●",,,,,,,"振込","000201","3","朝刊単","現読","20180501","20180501","20180501",,"20180501",,"1","新規","新勧",,,
"1935200",,"現",,"1","116","0","8836","●●●●",,"●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-10",,,,,"●●●●●●●●●●",,,,,,,"自振","000201","3","朝刊単","現読","20030301","20030301","20030301",,"20030301",,"4","１継","一継",,,
"1935200",,"現",,"1","117","0","8843","●●●●●",,"●●●●●●●●",,"4640011","名古屋市千種区","千代田橋","1-1-10",,,,,"●●●●●●●●●●",,,,,,,"クレジット","000201","3","朝刊単","現読","20200401","20200401","20200218",,"20200401","20210331","6","固継","固定継続",,,
"1935200",,"現",,"1","38","0","8846","●●●●●",,"●●●●●●●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","4-12",,,,,"●●●●●●●●●●","●●●●●●●●●●●",,,,,,"クレジット","000100","1","セット","現読","20010801","20010801","20010801",,"20010801",,"1","新規","新勧",,,
"1935200",,"予",,"1","1","0","8849","●●●●●",,"●●●●●●●●",,"4640091","名古屋市千種区","宮の腰町","4-12",,,,,"●●●●●●●●●●",,,,,,,"集金","000201","3","朝刊単","予約","20210101","20210101","20200408",,"20210101","20210630","4","１継","一継",,,
